timeMs,evt,a,b,c,d,s
505865,5,1.84892136848375,1.5,-0.53116945068108,2.81775191780267,
511334,1,2,16.5,17.5233590893426,3.122160971338,CL
511334,5,2.11916022766436,1.5,-0.49699925632636,3.122160971338,
511334,2,2,3,16.5,0,LOW
516959,1,3,21.4,19.5328059146081,2.81967145755017,CL
516959,5,1.61679852134798,1.5,-0.297127063797813,2.81967145755017,
521887,1,3,24.4,21.9798919412134,2.38967966498868,CL
521887,5,1.00502701469666,1.5,-0.115347349707986,2.38967966498868,
526101,1,3,28.5,25.1114723306913,1.78643305703468,CL
526101,5,0.222131917327174,1.5,0.0643011397075084,1.78643305703468,
526101,2,3,2,28.5,0,LOW
529112,1,2,29.9,27.2119237613868,-1.611509933201,CL
529112,5,-0.302980940346703,-1.5,0.191471007145707,-1.611509933201,
529691,4,2,29.9,26,0,LOW
530689,1,0,30.1,30.0523764168016,-1.70261882084008,CL
530689,5,-1.0130941042004,-1.5,0.81047528336032,-1.70261882084008,
531694,1,0,29.9,29.9938125828311,-1.86178568581362,CL
531694,5,-0.998453145707777,-1.5,0.636667459894158,-1.86178568581362,
532691,1,0,30.1,30.0284469014032,-1.99085089372106,CL
532691,5,-1.00711172535081,-1.5,0.516260831629751,-1.99085089372106,
533699,1,0,29.8,29.960093172729,-2.0906853736133,CL
533699,5,-0.99002329318225,-1.5,0.399337919568954,-2.0906853736133,
534689,1,0,30.4,30.0853787010286,-2.17681723394207,CL
534689,5,-1.02134467525715,-1.5,0.344527441315081,-2.17681723394207,
